date ;value
01/01/1962;2815
01/02/1962;2672
01/03/1962;2755
01/04/1962;2721
01/05/1962;2946
01/06/1962;3036
01/07/1962;2282
01/08/1962;2212
01/09/1962;2922
01/10/1962;4301
01/11/1962;5764
01/12/1962;7312
01/01/1963;2541
01/02/1963;2475
01/03/1963;3031
01/04/1963;3266
01/05/1963;3776
01/06/1963;3230
01/07/1963;3028
01/08/1963;1759
01/09/1963;3595
01/10/1963;4474
01/11/1963;6838
01/12/1963;8357
01/01/1964;3113
01/02/1964;3006
01/03/1964;4047
01/04/1964;3523
01/05/1964;3937
01/06/1964;3986
01/07/1964;3260
01/08/1964;1573
01/09/1964;3528
01/10/1964;5211
01/11/1964;7614
01/12/1964;9254
01/01/1965;5375
01/02/1965;3086
01/03/1965;718
01/04/1965;4514
01/05/1965;4520
01/06/1965;4539
01/07/1965;3663
01/08/1965;1643
01/09/1965;4739
01/10/1965;5428
01/11/1965;8314
01/12/1965;10651
01/01/1966;3633
01/02/1966;4392
01/03/1966;4154
01/04/1966;4121
01/05/1966;4647
01/06/1966;4753
01/07/1966;3965
01/08/1966;1723
01/09/1966;5048
01/10/1966;6922
01/11/1966;9858
01/12/1966;11331
01/01/1967;4016
01/02/1967;3957
01/03/1967;4510
01/04/1967;4276
01/05/1967;4968
01/06/1967;4677
01/07/1967;3523
01/08/1967;1821
01/09/1967;5222
01/10/1967;6872
01/11/1967;10803
01/12/1967;13916
01/01/1968;2639
01/02/1968;2899
01/03/1968;3370
01/04/1968;3740
01/05/1968;2927
01/06/1968;3986
01/07/1968;4217
01/08/1968;1738
01/09/1968;5221
01/10/1968;6424
01/11/1968;9842
01/12/1968;13076
01/01/1969;3934
01/02/1969;3162
01/03/1969;4286
01/04/1969;4676
01/05/1969;5010
01/06/1969;4874
01/07/1969;4633
01/08/1969;1649
01/09/1969;5951
01/10/1969;6981
01/11/1969;9851
01/12/1969;12670
01/01/1970;4348
01/02/1970;3564
01/03/1970;4577
01/04/1970;4788
01/05/1970;4618
01/06/1970;5312
01/07/1970;4298
01/08/1970;1431
01/09/1970;5877
